iter	Passed	Remaining
857	59596	44593
858	59664	44522
859	59733	44452
860	59801	44381
861	59878	44318
862	59948	44249
863	60020	44182
864	60089	44111
865	60163	44045
866	60231	43975
867	60297	43903
868	60370	43836
869	60436	43764
870	60503	43693
871	60570	43621
872	60637	43550
873	60712	43485
874	60783	43416
875	60851	43346
876	60921	43276
877	60990	43207
878	61060	43138
879	61125	43065
880	61197	42998
881	61238	42908
882	61308	42839
883	61375	42768
884	61444	42698
885	61514	42629
886	61584	42560
887	61650	42488
888	61719	42418
889	61788	42349
890	61858	42280
891	61927	42210
892	61998	42142
893	62070	42074
894	62141	42006
895	62217	41941
896	62288	41872
897	62358	41803
898	62430	41736
899	62500	41667
900	62572	41599
901	62642	41529
902	62710	41459
903	62779	41389
904	62848	41320
905	62915	41249
906	62988	41181
907	63057	41112
908	63130	41045
909	63189	40969
910	63261	40901
911	63328	40830
912	63401	40762
913	63468	40691
914	63537	40622
915	63606	40552
916	63682	40487
917	63751	40417
918	63822	40348
919	63893	40280
920	63964	40212
921	64033	40142
922	64101	40072
923	64171	40003
924	64240	39933
925	64308	39863
926	64379	39794
927	64450	39725
928	64517	39655
929	64582	39582
930	64651	39512
931	64724	39445
932	64791	39374
933	64859	39304
934	64925	39233
935	64993	39162
936	65060	39091
937	65128	39021
938	65195	38950
939	65263	38880
940	65329	38808
941	65396	38737
942	65473	38673
943	65543	38604
944	65611	38533
945	65684	38466
946	65754	38397
947	65824	38328
948	65894	38259
949	65963	38189
950	66033	38120
951	66104	38051
952	66172	37981
953	66242	37912
954	66311	37842
955	66385	37775
956	66454	37706
957	66524	37637
958	66608	37575
959	66674	37504
960	66746	37436
961	66816	37367
962	66885	37297
963	66954	37227
964	67031	37162
965	67102	37094
966	67172	37024
967	67241	36954
968	67308	36884
969	67378	36815
970	67452	36748
971	67522	36678
972	67592	36609
973	67658	36538
974	67726	36467
975	67795	36398
976	67865	36329
977	67934	36259
978	68004	36190
979	68079	36123
980	68148	36054
981	68216	35983
982	68287	35914
983	68357	35846
984	68428	35777
985	68498	35707
986	68567	35638
987	68635	35568
988	68703	35498
989	68789	35436
990	68855	35365
991	68926	35296
992	68996	35227
993	69064	35157
994	69136	35089
995	69206	35019
996	69277	34951
997	69348	34882
998	69417	34813
999	69492	34746
1000	69565	34678
1001	69634	34608
1002	69706	34540
1003	69775	34470
1004	69849	34403
1005	69919	34334
1006	69995	34267
1007	70064	34198
1008	70134	34129
1009	70205	34059
1010	70274	33990
